City	Rank	Population	State
Fitchburg	40383	913	Massachusetts
Carol Stream	40379	914	Illinois
Hickory	40361	915	North Carolina
Streamwood	40351	916	Illinois
Norwich	40347	917	Connecticut
Coppell	40342	918	Texas
San Gabriel	40275	919	California
Holyoke	40249	920	Massachusetts
Bentonville	40167	921	Arkansas
Florence	40059	922	Alabama
Peachtree Corners	40059	923	Georgia
Brentwood	40021	924	Tennessee
Bozeman	39860	925	Montana
New Berlin	39834	926	Wisconsin
Goose Creek	39823	927	South Carolina
Huntsville	39795	928	Texas
Prescott Valley	39791	929	Arizona
Maplewood	39765	930	Minnesota
Romeoville	39650	931	Illinois
Duncanville	39605	932	Texas
Atlantic City	39551	933	New Jersey
Clovis	39508	934	New Mexico
The Colony	39458	935	Texas
Culver City	39428	936	California
Marlborough	39414	937	Massachusetts
Hilton Head Island	39412	938	South Carolina
Moorhead	39398	939	Minnesota
Calexico	39389	940	California
Bullhead City	39383	941	Arizona
Germantown	39375	942	Tennessee
La Quinta	39331	943	California
Lancaster	39325	944	Ohio
Wausau	39309	945	Wisconsin
Sherman	39296	946	Texas
Ocoee	39172	947	Florida
Shakopee	39167	948	Minnesota
Woburn	39083	949	Massachusetts
Bremerton	39056	950	Washington
Rock Island	38877	951	Illinois
Muskogee	38863	952	Oklahoma
Cape Girardeau	38816	953	Missouri
Annapolis	38722	954	Maryland
Greenacres	38696	955	Florida
Ormond Beach	38661	956	Florida
Hallandale Beach	38632	957	Florida
Stanton	38623	958	California
Puyallup	38609	959	Washington
Pacifica	38606	960	California
Hanover Park	38510	961	Illinois
Hurst	38448	962	Texas
Lima	38355	963	Ohio
Marana	38290	964	Arizona
Carpentersville	38241	965	Illinois
Oakley	38194	966	California
Huber Heights	38142	967	Ohio
Lancaster	38071	968	Texas
Montclair	38027	969	California
Wheeling	38015	970	Illinois
Brookfield	37999	971	Wisconsin
Park Ridge	37839	972	Illinois
Florence	37792	973	South Carolina
Roy	37733	974	Utah
Winter Garden	37711	975	Florida
Chelsea	37670	976	Massachusetts
Valley Stream	37659	977	New York
Spartanburg	37647	978	South Carolina
Lake Oswego	37610	979	Oregon
Friendswood	37587	980	Texas
Westerville	37530	981	Ohio
Northglenn	37499	982	Colorado
Phenix City	37498	983	Alabama
Grove City	37490	984	Ohio
Texarkana	37442	985	Texas
Addison	37385	986	Illinois
Dover	37366	987	Delaware
Lincoln Park	37313	988	Michigan
Calumet City	37240	989	Illinois
Muskegon	37213	990	Michigan
Aventura	37199	991	Florida
Martinez	37165	992	California
Greenfield	37159	993	Wisconsin
Apache Junction	37130	994	Arizona
Monrovia	37101	995	California
Weslaco	37093	996	Texas
Keizer	37064	997	Oregon
Spanish Fork	36956	998	Utah
Beloit	36888	999	Wisconsin
Panama City	36877	1000	Florida
